I suggest you could go for the uploaded trip to the following amenities
        distance           amenity     city                                                                                                                                                                                                                                                                                                            address
10    194.176877              fuel  Burnaby                                                                                                  {'amenity': 'Shell', 'road': 'Lougheed Highway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 6V9', 'country': 'Canada', 'country_code': 'ca'}
11    169.875878          car_wash  Burnaby                                                                                                  {'amenity': 'Shell', 'road': 'Lougheed Highway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 6V9', 'country': 'Canada', 'country_code': 'ca'}
12    137.663881        restaurant  Burnaby                                                                           {'amenity': 'White Spot', 'house_number': '4075', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1S2', 'country': 'Canada', 'country_code': 'ca'}
13    199.908438        veterinary  Burnaby                                                                                                     {'house_number': '435', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V9', 'country': 'Canada', 'country_code': 'ca'}
14    193.345417           dentist  Burnaby                                                                                                     {'house_number': '435', 'road': 'North Road', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3K 3V9', 'country': 'Canada', 'country_code': 'ca'}
15    149.625655       bus_station  Burnaby                                                                                  {'amenity': 'Lougheed Station', 'road': 'Lougheed Bus platform', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1S2', 'country': 'Canada', 'country_code': 'ca'}
16    950.065979    drinking_water  Burnaby                                                                                                                           {'road': 'Cariboo Dam', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 3H4', 'country': 'Canada', 'country_code': 'ca'}
17    676.311867      waste_basket  Burnaby                                                                                                               {'road': 'Central Valley Greenway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4T2', 'country': 'Canada', 'country_code': 'ca'}
18    783.963031      waste_basket  Burnaby                                                                                                               {'road': 'Central Valley Greenway', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4T2', 'country': 'Canada', 'country_code': 'ca'}
19    255.273065      waste_basket  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
20    699.820493          post_box  Burnaby                                  {'building': 'Picken House', 'road': 'Brunette Headwaters Trail', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 3R1', 'country': 'Canada', 'country_code': 'ca'}
21    282.023542       car_sharing  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
22    202.535025         fast_food  Burnaby                                                                  {'amenity': "McDonald's", 'road': 'North Road', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': '105', 'country': 'Canada', 'country_code': 'ca'}
23    274.886483               atm  Burnaby                                               {'shop': 'Lougheed Town Centre', 'road': 'Truck Loading Zone', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N0', 'country': 'Canada', 'country_code': 'ca'}
24    283.143662              bank  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
25    551.558888  place_of_worship  Burnaby                                        {'amenity': 'New Life Community Church', 'road': 'Government Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N 4T2', 'country': 'Canada', 'country_code': 'ca'}
26    239.357157              cafe  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
27    254.076352              cafe  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
28    294.440188  community_centre  Burnaby                                {'amenity': 'Family Lounge', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
29    334.547696    waste_disposal  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
30    343.957330              cafe  Burnaby                                  {'amenity': 'Tim Hortons', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
31    304.077422         fast_food  Burnaby                                {'amenity': 'Sashimi Sushi', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
32    301.107970              cafe  Burnaby                                      {'amenity': 'Cinnzeo', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
33    330.089227    waste_disposal  Burnaby                                               {'shop': 'Lougheed Town Centre', 'road': 'Truck Loading Zone', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N0', 'country': 'Canada', 'country_code': 'ca'}
34    272.483589         fast_food  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
35    276.948942         fast_food  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
36    299.711248           toilets  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
37    284.467339         fast_food  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
38    345.625086           toilets  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
39    316.708119              cafe  Burnaby                                       {'amenity': "Anna's", 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
40    314.070927           dentist  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
41    341.574297       post_office  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
42    313.019949         fast_food  Burnaby                                                                    {'house_number': '555', 'road': 'North Road', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': '105', 'country': 'Canada', 'country_code': 'ca'}
43    354.682043    waste_disposal  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
44    387.560330              bank  Burnaby                                          {'amenity': 'BMO', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
45    333.673183              cafe  Burnaby                                                                    {'house_number': '555', 'road': 'North Road', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': '105', 'country': 'Canada', 'country_code': 'ca'}
46    410.972637    waste_disposal  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
47    103.547766               pub  Burnaby                                          {'amenity': 'Lougheed Village Bar & Grill', 'road': 'Lougheed Highway', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N', 'country': 'Canada', 'country_code': 'ca'}
48    412.986025        restaurant  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
49    113.635774    drinking_water  Burnaby                                                              {'leisure': 'Bell Park', 'road': 'Bell Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1M7', 'country': 'Canada', 'country_code': 'ca'}
50    401.035770           parking  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
51    408.271096              cafe  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
52    280.267516            school  Burnaby                                           {'amenity': 'Cameron Elementary School', 'road': 'Erickson Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1L6', 'country': 'Canada', 'country_code': 'ca'}
53    112.569660          fountain  Burnaby                                          {'amenity': 'Lougheed Village Bar & Grill', 'road': 'Lougheed Highway', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3N', 'country': 'Canada', 'country_code': 'ca'}
54    128.448455          fountain  Burnaby                                                                                   {'road': 'Erickson Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1L6', 'country': 'Canada', 'country_code': 'ca'}
55    181.577009          fountain  Burnaby                                                           {'house_number': '9541', 'road': 'Erickson Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1L6', 'country': 'Canada', 'country_code': 'ca'}
56    360.659633        restaurant  Burnaby                                    {'amenity': 'Red Robin', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
57    364.946193        restaurant  Burnaby                                                            {'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
58    469.377588           dentist  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
59    483.016655              park  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
60    495.548988       post_office  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
61    525.063014              bank  Burnaby                                                      {'shop': 'Northgate Village', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
62    535.940604           parking  Burnaby                                                         {'building': 'Silhouette', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
63    396.328427              bank  Burnaby                             {'amenity': 'GVC Credit Union', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
64    380.607644        restaurant  Burnaby                        {'amenity': 'Green Leaf Sushi Cafe', 'house_number': '9855', 'road': 'Austin Avenue', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1N7', 'country': 'Canada', 'country_code': 'ca'}
65    216.187052    drinking_water  Burnaby                                        {'building': 'Cameron', 'house_number': '3399', 'road': 'Noel Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1M7', 'country': 'Canada', 'country_code': 'ca'}
66    565.841503         fast_food  Burnaby                                                                                             {'amenity': 'Subway', 'road': 'Thunderbird Crescent', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4R4', 'country': 'Canada', 'country_code': 'ca'}
67    392.170274           library  Burnaby                             {'amenity': 'Cameron Library', 'house_number': '9523', 'road': 'Cameron Street', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 1L6', 'country': 'Canada', 'country_code': 'ca'}
68    537.777761       bus_station  Burnaby                                                                        {'amenity': 'Production Station Bus Loop', 'road': 'Thunderbird Crescent', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4R4', 'country': 'Canada', 'country_code': 'ca'}
69    564.549210         fast_food  Burnaby                                                                                                     {'office': 'AECOM', 'road': 'Production Way', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4R4', 'country': 'Canada', 'country_code': 'ca'}
70    551.953803           parking  Burnaby                                                                                           {'amenity': 'Megabite', 'road': 'Thunderbird Crescent', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4R4', 'country': 'Canada', 'country_code': 'ca'}
71    630.980998         fast_food  Burnaby                                                           {'amenity': 'Boil It World', 'road': 'North Road', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
72    298.139283        restaurant  Burnaby                                                                    {'amenity': 'Sandwich Tree', 'house_number': '8662', 'road': 'Commerce Court', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4W4', 'country': 'Canada', 'country_code': 'ca'}
73    643.328499         fast_food  Burnaby                                                           {'amenity': 'Boil It World', 'road': 'North Road', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 0A0', 'country': 'Canada', 'country_code': 'ca'}
74    528.857463        restaurant  Burnaby                                                                 {'amenity': 'Foodies on Board', 'house_number': '3290', 'road': 'Production Way', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4R4', 'country': 'Canada', 'country_code': 'ca'}
75     74.007187            school  Burnaby                                                                          {'amenity': 'Burnaby Mountain Secondary School', 'road': 'Gaglardi Way', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 7X5', 'country': 'Canada', 'country_code': 'ca'}
76   1093.245530              cafe  Burnaby                  {'amenity': 'Scardillo Cheese', 'house_number': '7865', 'road': 'Venture Street', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 1V1', 'country': 'Canada', 'country_code': 'ca'}
77    344.885077    waste_disposal  Burnaby                                                                                     {'road': 'Corona Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 7X5', 'country': 'Canada', 'country_code': 'ca'}
78    392.528854    waste_disposal  Burnaby                                                                       {'road': 'Neptune Crescent', 'residential': 'Norman Bethune Housing Co-Op', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 7X5', 'country': 'Canada', 'country_code': 'ca'}
79    612.828432  parking_entrance  Burnaby                                                                                   {'road': 'Aquarius Drive', 'neighbourhood': 'Sullivan Heights', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 7B6', 'country': 'Canada', 'country_code': 'ca'}
80   1291.504781        restaurant  Burnaby                               {'leisure': 'Burnaby Mountain Golf Course', 'road': 'Camrose Drive', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y2', 'country': 'Canada', 'country_code': 'ca'}
81   1281.682921           toilets  Burnaby                               {'leisure': 'Burnaby Mountain Golf Course', 'road': 'Camrose Drive', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y2', 'country': 'Canada', 'country_code': 'ca'}
82    192.219807           toilets  Burnaby                                                                                           {'leisure': 'Field 2000', 'road': 'Forest Grove Drive', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4W2', 'country': 'Canada', 'country_code': 'ca'}
83   1976.720706          post_box  Burnaby                              {'highway': 'Duthie Ave (NB) at Sufliff St', 'road': 'Duthie Avenue', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 2S3', 'country': 'Canada', 'country_code': 'ca'}
84   1260.225965           parking  Burnaby                              {'leisure': 'Burnaby Mountain Golf Course', 'road': 'Halifax Street', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4H1', 'country': 'Canada', 'country_code': 'ca'}
85   1452.812468               pub  Burnaby                                                {'amenity': 'Hop & Vine', 'road': 'Burnwood Drive', 'city': 'Burnaby', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4H1', 'country': 'Canada', 'country_code': 'ca'}
86   1993.363709           toilets  Burnaby                                                                                                                      {'road': 'Power Line Trail', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V3J 3Z8', 'country': 'Canada', 'country_code': 'ca'}
87    905.954581           college  Burnaby                                                {'amenity': 'Fraser International College', 'road': 'Nelson Way', 'commercial': 'Discovery Place', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
88    990.396080      waste_basket  Burnaby                                                                    {'building': 'Lift', 'house_number': '9350', 'road': 'University High Street', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
89    817.213036       post_office  Burnaby                                                                       {'building': 'The Hub', 'house_number': '9009', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
90    684.163780         fast_food  Burnaby                                                                                  {'building': 'Cornerstone Building', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
91    668.676784        restaurant  Burnaby                                                                                  {'building': 'Cornerstone Building', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
92    660.939926        restaurant  Burnaby                                                                                  {'building': 'Cornerstone Building', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
93    497.920274              cafe  Burnaby                                                                           {'amenity': 'Simon Fraser University', 'road': 'University Drive West', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4X6', 'country': 'Canada', 'country_code': 'ca'}
94    653.201973        restaurant  Burnaby                                                                                  {'building': 'Cornerstone Building', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
95    645.467773        restaurant  Burnaby                                                                                  {'building': 'Cornerstone Building', 'road': 'Cornerstone Mews', 'city': 'Burnaby', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5A 4Y0', 'country': 'Canada', 'country_code': 'ca'}
